Date,Description,Amount,Type
2025-03-01,Paycheque,2500.00,Credit
2025-03-02,Starbucks,-6.25,Debit
2025-03-03,Uber Eats,-24.70,Debit
2025-03-04,Spotify,-10.99,Debit
2025-03-05,Shoppers Drug Mart,-45.20,Debit
2025-03-06,Rent,-1200.00,Debit
2025-03-07,Shell Gas,-52.34,Debit
2025-03-08,Amazon,-88.50,Debit
2025-03-09,Hydro Bill,-98.40,Debit
2025-03-10,Netflix,-15.49,Debit
2025-03-11,Freshii,-18.75,Debit
2025-03-12,PetSmart,-63.99,Debit
2025-03-13,TTC,-3.25,Debit
2025-03-14,Grammarly,-12.00,Debit
2025-03-15,Cinema Cineplex,-19.99,Debit
2025-03-16,Costco,-150.00,Debit
2025-03-17,Apple iCloud,-1.29,Debit
2025-03-18,Uber,-17.40,Debit
2025-03-19,Home Depot,-77.89,Debit
2025-03-20,Gym Membership,-39.99,Debit
2025-03-21,Direct Deposit,1000.00,Credit
2025-03-22,Metro,-34.60,Debit
2025-03-23,Twitch Sub,-6.99,Debit
2025-03-24,Lululemon,-82.50,Debit
2025-03-25,TD Insurance,-96.10,Debit
